Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 253kb (arquivo),409,0,160.0,192.59249850367496,23.642825999559136,1853.2250429998385,128743.0,6.921816690226267,0.0,160,200,230,250,320,410,610,690,1900,1900,1900
GET,Imagem 253kb (pagina),413,0,2000.0,2125.984908169522,231.74894800104084,4751.453726999898,30707.0,6.989511718981536,0.0,2000,2500,2800,3000,3600,3800,4100,4400,4800,4800,4800
GET,Imagem 530kb (arquivo),386,0,160.0,214.0652174585819,34.69674899861275,1866.7442580008355,191722.0,6.5325702748834695,0.0,160,190,240,270,390,540,690,1900,1900,1900,1900
GET,Imagem 530kb (pagina),389,0,2100.0,2195.9532276734767,228.99316800067027,4792.546476999632,30617.0,6.583341546449922,0.0,2100,2600,2800,3000,3600,3800,4300,4400,4800,4800,4800
GET,Texto leve,382,0,2100.0,2176.567149934584,230.31615899890312,4563.207109998984,31820.0,6.464875246128201,0.0,2100,2600,2900,3100,3600,3800,4200,4300,4600,4600,4600
,Aggregated,1979,0,1200.0,1377.011485467925,23.642825999559136,4792.546476999632,82570.90601313795,33.4921154766694,0.0,1200,1900,2300,2600,3200,3700,4000,4300,4800,4800,4800
