Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 253kb (arquivo),746,3,97,122.99967662601249,2.16857399982473,1777.9312500001652,128225.8981233244,8.391446131063443,0.03374576192116666,98,120,140,160,200,270,430,540,1800,1800,1800
GET,Imagem 253kb (pagina),747,3,920.0,1488.2443393534156,4.8334559996874304,8151.819313000033,30584.309236947793,8.4026947183705,0.03374576192116666,920,1300,1700,2000,2900,5600,7000,7600,8200,8200,8200
GET,Imagem 530kb (arquivo),758,3,93,130.08910495118835,2.095658000143885,1846.5162540001074,190963.827176781,8.52642917874811,0.03374576192116666,93,120,140,150,210,320,440,770,1800,1800,1800
GET,Imagem 530kb (pagina),758,3,860.0,1428.038859179421,3.7048089998279465,8277.51254099985,30496.445910290236,8.52642917874811,0.03374576192116666,860,1200,1600,1900,2800,6400,6900,7500,8300,8300,8300
GET,Texto leve,736,1,930.0,1464.6884513016348,23.30129299980399,7864.003484000023,31776.979619565216,8.278960257992887,0.011248587307055554,930,1300,1700,2000,2900,5200,7000,7200,7900,7900,7900
,Aggregated,3745,13,500.0,924.5788991265731,2.095658000143885,8277.51254099985,82712.3479305741,42.12595946492305,0.1462316349917222,500,810,1100,1300,2200,3200,6600,7000,8000,8300,8300
