Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Texto leve,1363,202,6000.0,5740.129832538537,97.45065799870645,15844.46247500091,27496.340425531915,23.300106582392722,3.45313391756664,6000,6800,7600,8500,9900,11000,14000,15000,16000,16000,16000
,Aggregated,1363,202,6000.0,5740.129832538537,97.45065799870645,15844.46247500091,27496.340425531915,23.300106582392722,3.45313391756664,6000,6800,7600,8500,9900,11000,14000,15000,16000,16000,16000
