Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 253kb (arquivo),634,0,230.0,382.12090570822386,16.147849999470054,2859.7499120005523,128743.0,10.632810426519212,0.0,230,290,340,390,690,1600,2300,2400,2900,2900,2900
GET,Imagem 253kb (pagina),634,29,3000.0,3275.0925960804166,196.38962900171464,8547.76329699962,29423.45268138801,10.632810426519212,0.48635883654425416,3000,3600,4200,4800,5700,6500,7400,8100,8500,8500,8500
GET,Imagem 530kb (arquivo),690,0,240.0,357.58163452610216,20.792711999092717,2784.5394850010052,191722.0,11.57198611088053,0.0,240,290,350,400,630,1300,2000,2300,2800,2800,2800
GET,Imagem 530kb (pagina),690,36,3000.0,3267.2604856405933,187.055397000222,8748.909923999236,29157.64347826087,11.57198611088053,0.603755797089419,3000,3600,4200,4600,5900,6500,7500,8200,8700,8700,8700
GET,Texto leve,671,29,3100.0,3359.7575129195166,197.9989920000662,8767.916602999321,30559.126676602085,11.253337217972225,0.48635883654425416,3100,3700,4400,5100,5900,6600,7300,7900,8800,8800,8800
,Aggregated,3319,94,2000.0,2131.4286574926236,16.147849999470054,8767.916602999321,82310.83428743598,55.66293029277171,1.5764734701779273,2000,2800,3300,3700,5200,6000,6800,7600,8500,8800,8800
