Method,Name,Error,Occurrences
GET,Imagem 253kb (pagina),500 Server Error: Internal Server Error for url: Imagem 253kb (pagina),29
GET,Imagem 530kb (pagina),500 Server Error: Internal Server Error for url: Imagem 530kb (pagina),36
GET,Texto leve,500 Server Error: Internal Server Error for url: Texto leve,29
