Method,Name,Error,Occurrences
GET,Texto leve,502 Server Error: Bad Gateway for url: Texto leve,283
GET,Imagem 253kb (arquivo),502 Server Error: Bad Gateway for url: Imagem 253kb (arquivo),308
GET,Imagem 253kb (pagina),502 Server Error: Bad Gateway for url: Imagem 253kb (pagina),282
