Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 253kb (arquivo),303,0,870.0,1324.4349990824903,29.91946599968287,8816.031904999818,128743.0,3.28293675718055,0.0,870,1200,1300,1700,3200,3800,6100,6700,8800,8800,8800
GET,Imagem 253kb (pagina),312,0,20000.0,19735.883300192298,357.70154900001216,57983.7802699999,30707.0,3.380449730166111,0.0,20000,23000,25000,26000,36000,48000,54000,55000,58000,58000,58000
GET,Texto leve,295,0,18000.0,18044.647295128805,348.78579399992304,56779.3641899998,31820.0,3.1962585589711625,0.0,18000,21000,24000,25000,34000,51000,54000,56000,57000,57000,57000
,Aggregated,910,0,9800.0,13057.22016092857,29.91946599968287,57983.7802699999,63710.563736263735,9.859645046317823,0.0,9900,18000,21000,23000,28000,43000,53000,54000,58000,58000,58000
