Method,Name,Error,Occurrences
GET,Texto leve,502 Server Error: Bad Gateway for url: Texto leve,4
GET,Imagem 253kb (arquivo),502 Server Error: Bad Gateway for url: Imagem 253kb (arquivo),5
GET,Imagem 253kb (pagina),500 Server Error: Internal Server Error for url: Imagem 253kb (pagina),3
GET,Texto leve,500 Server Error: Internal Server Error for url: Texto leve,2
GET,Imagem 253kb (pagina),502 Server Error: Bad Gateway for url: Imagem 253kb (pagina),5
