Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 253kb (arquivo),255,31,990.0,29362.980245662733,19.547740000007252,256480.54368499992,113101.12549019608,0.6742223956590767,0.08196429123698579,990,1900,7200,60000,178000,197000,225000,234000,256000,256000,256000
GET,Imagem 253kb (pagina),376,163,20000.0,119240.62534937503,133.73977099990952,303695.88685999997,17461.997340425532,0.9941475324227954,0.43097353134286076,20000,265000,276000,280000,284000,287000,301000,302000,304000,304000,304000
GET,Imagem 530kb (arquivo),255,27,950.0,32163.50944744315,22.098262999861618,255930.5704750002,171428.18039215685,0.6742223956590767,0.07138825365801989,950,1600,5800,20000,197000,199000,244000,249000,256000,256000,256000
GET,Imagem 530kb (pagina),373,157,19000.0,111805.87176272376,139.94429900003524,305339.943662,17794.06434316354,0.986215504238571,0.4151094749744119,19000,196000,276000,280000,286000,289000,301000,302000,305000,305000,305000
GET,Texto leve,357,180,67000.0,130729.30544179831,151.3399880000179,306549.36193899997,15853.703081232494,0.9439113539227073,0.4759216910534659,67000,267000,277000,280000,285000,288000,302000,304000,307000,307000,307000
,Aggregated,1616,558,14000.0,92139.6548349783,19.547740000007252,306549.36193899997,56570.32301980198,4.272719181902227,1.4753572422657442,14000,98000,254000,270000,283000,287000,290000,302000,305000,307000,307000
