Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Imagem 253kb (arquivo),634,5,210.0,298.59990179337757,7.994008999958169,2979.275502000064,127728.91482649843,7.022934976611299,0.05538592252848027,210,280,330,380,550,670,1400,1800,3000,3000,3000
GET,Imagem 253kb (pagina),639,8,3000.0,4069.5155143708876,3.6531050000121468,14540.503570000055,30336.21283255086,7.078320899139778,0.08861747604556844,3000,3900,4800,5700,9000,11000,14000,14000,15000,15000,15000
GET,Texto leve,602,6,3200.0,4071.977829451829,3.4954039999774977,14601.391109000018,31512.691029900332,6.668465072429025,0.06646310703417632,3200,3900,4700,5600,8800,11000,13000,14000,15000,15000,15000
,Aggregated,1875,19,2100.0,2795.233815866668,3.4954039999774977,14601.391109000018,63645.659733333334,20.7697209481801,0.21046650560822502,2100,3000,3700,4200,6700,10000,12000,14000,15000,15000,15000
