Method,Name,Error,Occurrences
GET,Imagem 253kb (pagina),500 Server Error: Internal Server Error for url: Imagem 253kb (pagina),138
GET,Imagem 530kb (pagina),500 Server Error: Internal Server Error for url: Imagem 530kb (pagina),114
GET,Texto leve,500 Server Error: Internal Server Error for url: Texto leve,146
